"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRSF1",1.57429104437925e-05,-0.337266054328733,0.268,0.306,0.288835177912261
"UQCR11",1.59848674114487e-05,0.138364541583349,0.622,0.586,0.293274362397849
"PDIA6",1.62786499081668e-05,-0.200065333540401,0.389,0.429,0.298664389865136
"SRSF10",1.74505330105587e-05,-0.244554932627263,0.468,0.505,0.32016492914472
"DHRS7",1.75360500522247e-05,-0.205928003799798,0.297,0.34,0.321733910308167
"LSM14A",1.75553314691444e-05,-0.227145688427137,0.42,0.458,0.322087666464392
"MRPL18",1.81388400368947e-05,-0.333215406000693,0.241,0.275,0.332793298156907
"UBE2J1",1.87085815744773e-05,0.210128048876183,0.25,0.21,0.343246346146936
"PPIB",1.87340697017259e-05,-0.109294009805662,0.863,0.864,0.343713976817564
"AATF",1.8988417435599e-05,-0.383170199377955,0.218,0.253,0.348380494690935
"GABARAP",1.96873469840995e-05,-0.124493179850407,0.677,0.719,0.361203755117274
"TMEM243",2.07662545545692e-05,0.203158676759487,0.418,0.379,0.380998472312681
"ACAP2",2.08647350272724e-05,-0.333585717401512,0.265,0.304,0.382805293545366
"RSF1",2.10316370186178e-05,-0.305230802661488,0.294,0.331,0.38586744438058
"MRPS15",2.12426937498198e-05,-0.330697925497831,0.227,0.263,0.389739702227944
"PYURF",2.1765204435494e-05,-0.310924289933552,0.266,0.302,0.399326205778008
"RSBN1",2.18204361164711e-05,-0.375540843726667,0.25,0.285,0.400339541428895
"PTPN1",2.23553004660761e-05,0.251113600452734,0.257,0.217,0.410152697651098
"UBE2N",2.28588893170994e-05,-0.22459118127646,0.436,0.475,0.419392042300823
"ATP2B4",2.37795504133227e-05,-0.414040434005866,0.219,0.258,0.436283411433231
"UQCRC2",2.40032164365546e-05,0.284268320540768,0.34,0.301,0.440387011961468
"PQBP1",2.40766803910418e-05,-0.248711267848313,0.347,0.387,0.441734855134443
"UHMK1",2.45587135966211e-05,-0.362705452831433,0.237,0.273,0.450578718357208
"SHOC2",2.50226319052037e-05,-0.337514223459944,0.227,0.264,0.459090227564772
"HADHA",2.70686126645268e-05,0.183922762203742,0.317,0.276,0.496627836556073
"CCDC12",2.84255345848754e-05,-0.245637152720607,0.326,0.365,0.521523283028709
"MARS",2.88314509285245e-05,-0.30186899772964,0.346,0.385,0.528970630185639
"RER1",3.00895372070494e-05,0.218675398501842,0.302,0.26,0.552052739137735
"MORC3",3.0989373865257e-05,0.233054053094272,0.269,0.231,0.56856204230587
"NDUFA11",3.12897923065882e-05,-0.342814401885803,0.217,0.252,0.574073819448974
"KDELR2",3.41269634886877e-05,-0.200848580871033,0.458,0.486,0.626127399126954
"UBE3A",3.47504043527435e-05,-0.320056719827149,0.243,0.278,0.637565668659785
"PSMC5",3.77413614167801e-05,0.156042557331796,0.438,0.393,0.692440757913664
"FIS1",3.78526540661955e-05,0.255188574205561,0.275,0.238,0.694482644152489
"TRBC1",3.88206588751564e-05,0.233710285590357,0.58,0.543,0.712242628382494
"RASSF5",3.90172517696108e-05,-0.245767276999962,0.393,0.425,0.715849518217049
"ACADVL",4.08475553636219e-05,0.15276347841753,0.314,0.271,0.749430098256372
"PARK7",4.12586215128312e-05,-0.146742705007318,0.63,0.65,0.756971928895913
"KPNA2",4.17655541696835e-05,-0.264205105667714,0.303,0.34,0.766272622351183
