"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC25A40",0.0850451303239528,-0.316310513419518,0.063,0.068,1
"KIF13B",0.0851026660923007,-0.198190334526805,0.106,0.097,1
"AGAP4",0.0851263757399071,-0.72378061402737,0.008,0.01,1
"ZNF169",0.0851788665133008,-0.557112461208463,0.016,0.019,1
"DDRGK1",0.0854851108935477,-0.151060314383501,0.286,0.263,1
"AGFG2",0.0855715304314699,-0.14658240265829,0.082,0.075,1
"MPLKIP",0.0856855502679242,-0.119941384675199,0.22,0.205,1
"BRCA1",0.0857733414118992,-0.360693176165639,0.017,0.02,1
"LATS1",0.0857836202981213,-0.224594408977603,0.141,0.129,1
"ABL1",0.085844377127018,-0.555644743094601,0.039,0.043,1
"ARMC8",0.0858695104410695,-0.327771886621302,0.184,0.186,1
"IGHMBP2",0.0859122866992714,-0.154682611844072,0.068,0.062,1
"AHCYL1",0.0859133418119935,-0.39319972830589,0.087,0.092,1
"ATG16L1",0.0860389217924986,-0.405397690436759,0.123,0.127,1
"SLC9A1",0.0862014184703455,-0.500411655000489,0.054,0.058,1
"BRAT1",0.086327396302768,-0.417099862423277,0.105,0.11,1
"UPF3A",0.0865489323273507,-0.143586646203921,0.167,0.155,1
"TCF7L2",0.0870139946846831,-0.224710170590948,0.016,0.013,1
"FOXM1",0.0870522735033819,-0.591759179871051,0.022,0.025,1
"GNPAT",0.0871590807405401,-0.285493088520467,0.176,0.179,1
"SUPV3L1",0.0872325127057973,-0.195303129592677,0.141,0.13,1
"WDR7",0.0872691185798294,-0.492398818848932,0.056,0.06,1
"GPAT4",0.0872973556589946,-0.279994726486869,0.229,0.23,1
"PCMTD1",0.0873960255638032,-0.182865595400775,0.2,0.185,1
"BOLA2B",0.0876058317689664,-0.489631247644792,0.076,0.08,1
"QKI",0.0876680931545906,-0.445017241650281,0.088,0.092,1
"KLHL36",0.0884242707870578,-0.441034165629278,0.096,0.1,1
"RAB3A",0.0884879779705786,0.201477452760847,0.016,0.014,1
"SETD6",0.0885412496309653,-0.216171683547641,0.047,0.042,1
"MRPS7",0.0888733438280814,-0.12041388757965,0.356,0.325,1
"SLC25A28",0.0890615374009444,-0.512197665730255,0.023,0.026,1
"ZNF799",0.0890830733040495,-0.110019500985257,0.011,0.009,1
"ENTPD3-AS1",0.0890843291028013,-0.218911944857598,0.013,0.016,1
"RAB33B",0.0891812754190115,-0.179841715769579,0.06,0.055,1
"CWC15",0.0895823915183745,-0.129358931283612,0.357,0.326,1
"PPAT",0.0896361453753096,-0.189173088803644,0.049,0.044,1
"RNF13",0.0897275468215086,-0.294494081140631,0.156,0.16,1
"CPT1A",0.0898308223887097,-0.262995628982518,0.113,0.103,1
"MARCH8",0.090042346741842,-0.251036095845811,0.04,0.035,1
"FNIP1",0.0901090498202464,-0.173781286300895,0.132,0.122,1
"DAAM1",0.0902677337360139,-0.128622216160133,0.104,0.097,1
"NDUFAB1",0.0902721535635601,-0.126564772283041,0.577,0.53,1
"TIMM17A",0.0903142086255933,-0.191419881035323,0.337,0.329,1
